"Timestamp","OriginalPath","TargetPath","Status","Message","Attempts"
"2025-11-09T08:32:41","E:\scripts\share\Projects\Quick-Cli Tools\Files\sample.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_E:\scripts\share\Projects\Quick-Cli Tools\Files\sample.txt.Name","Failed","Cannot rename the specified target, because it represents a path or device name.","3"
"2025-11-09T08:32:45","E:\scripts\share\Projects\Quick-Cli Tools\Files\sample3.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_E:\scripts\share\Projects\Quick-Cli Tools\Files\sample3.txt.Name","Failed","Cannot rename the specified target, because it represents a path or device name.","3"
"2025-11-09T08:32:45","E:\scripts\share\Projects\Quick-Cli Tools\Files","","Summary","Processed: 2, Succeeded: 0, Failed: 2, Skipped: 0","0"
"2025-11-09T08:42:18","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_sample2.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_sample2.txt","Skipped","Already prefixed","0"
"2025-11-09T08:42:22","E:\scripts\share\Projects\Quick-Cli Tools\Files\sampl2.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_E:\scripts\share\Projects\Quick-Cli Tools\Files\sampl2.txt.Name","Failed","Cannot rename the specified target, because it represents a path or device name.","3"
"2025-11-09T08:42:22","E:\scripts\share\Projects\Quick-Cli Tools\Files","","Summary","Processed: 2, Succeeded: 0, Failed: 1, Skipped: 1","0"
"2025-11-09T08:43:31","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_sample2.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_sample2.txt","Skipped","Already prefixed","0"
"2025-11-09T08:43:31","E:\scripts\share\Projects\Quick-Cli Tools\Files","","Summary","Processed: 1, Succeeded: 0, Failed: 0, Skipped: 1","0"
"2025-11-09T08:48:14","E:\scripts\share\Projects\Quick-Cli Tools\Files\sample.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_E:\scripts\share\Projects\Quick-Cli Tools\Files\sample.txt.Name","Failed","Cannot rename the specified target, because it represents a path or device name.","3"
"2025-11-09T08:48:18","E:\scripts\share\Projects\Quick-Cli Tools\Files\sample2.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_E:\scripts\share\Projects\Quick-Cli Tools\Files\sample2.txt.Name","Failed","Cannot rename the specified target, because it represents a path or device name.","3"
"2025-11-09T08:48:23","E:\scripts\share\Projects\Quick-Cli Tools\Files\sample3.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_E:\scripts\share\Projects\Quick-Cli Tools\Files\sample3.txt.Name","Failed","Cannot rename the specified target, because it represents a path or device name.","3"
"2025-11-09T08:48:23","E:\scripts\share\Projects\Quick-Cli Tools\Files","","Summary","Processed: 3, Succeeded: 0, Failed: 3, Skipped: 0","0"
"2025-11-09T08:59:15","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_sample2.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_sample2.txt","Skipped","Already prefixed","0"
"2025-11-09T08:59:19","E:\scripts\share\Projects\Quick-Cli Tools\Files\sample.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_E:\scripts\share\Projects\Quick-Cli Tools\Files\sample.txt.Name","Failed","Cannot rename the specified target, because it represents a path or device name.","3"
"2025-11-09T08:59:23","E:\scripts\share\Projects\Quick-Cli Tools\Files\sample2.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_E:\scripts\share\Projects\Quick-Cli Tools\Files\sample2.txt.Name","Failed","Cannot rename the specified target, because it represents a path or device name.","3"
"2025-11-09T09:02:55","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_sample2.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_sample2.txt","Skipped","Already prefixed","0"
"2025-11-09T09:02:55","E:\scripts\share\Projects\Quick-Cli Tools\Files\sample3.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_sample3.txt","Success","","1"
"2025-11-09T09:02:55","E:\scripts\share\Projects\Quick-Cli Tools\Files","","Summary","Processed: 2, Succeeded: 1, Failed: 0, Skipped: 1","0"
"2025-11-09T09:04:00","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_ines.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_ines.txt","Skipped","Already prefixed","0"
"2025-11-09T09:04:00","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_sample3.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_sample3.txt","Skipped","Already prefixed","0"
"2025-11-09T09:04:00","E:\scripts\share\Projects\Quick-Cli Tools\Files\ines.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_ines_20251109-090400-764.txt","Success","","1"
"2025-11-09T09:04:00","E:\scripts\share\Projects\Quick-Cli Tools\Files\monwy.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_monwy.txt","Success","","1"
"2025-11-09T09:04:00","E:\scripts\share\Projects\Quick-Cli Tools\Files\sampl.txt","E:\scripts\share\Projects\Quick-Cli Tools\Files\finance_sampl.txt","Success","","1"
"2025-11-09T09:04:00","E:\scripts\share\Projects\Quick-Cli Tools\Files","","Summary","Processed: 5, Succeeded: 3, Failed: 0, Skipped: 2","0"
